Sample_number,Plot,Sample_type,Status,Vegetation,Year,Sampling_date,Processing_date,Soil_dry_weight_h2o,pH_H2O,Soil_dry_weight_kcl,pH_KCl,Sample_processing
226,HE2,Core,Healthy,Empetrum,2020,2020-08-08,2022-12-04,3.217,4.19,3.2315,3.22,G
218,HE3,Core,Healthy,Empetrum,2020,2020-08-08,2022-12-04,5.311,4.41,5.0757,3.39,HG
228,HE4,Core,Healthy,Empetrum,2020,2020-08-08,2022-12-04,5.0828,4.22,5.6158,3.35,HG
224,HE5,Core,Healthy,Empetrum,2020,2020-08-08,2022-12-04,2.8014,4.25,2.8977,3.23,HG
215,HE6,Core,Healthy,Empetrum,2020,2020-08-08,2022-12-04,5.1904,4.17,5.1391,3.38,HG
223,HE7,Core,Healthy,Empetrum,2020,2020-08-08,2022-12-04,5.0405,4.25,5.3581,3.45,HG
191,BC1,BSC,Browning,Cassiope,2022,2022-07-29,2022-12-12,5.1722,4.53,5.1874,3.51,G
190,BC2,BSC,Browning,Cassiope,2022,2022-07-29,2022-12-12,5.1576,3.89,5.1839,3.01,G
188,BC3,BSC,Browning,Cassiope,2022,2022-07-29,2022-12-12,5.085,4.22,5.0739,3.2,G
184,BC4,BSC,Browning,Cassiope,2022,2022-07-29,2022-12-12,5.1626,4.24,5.1124,3.21,G
187,BC5,BSC,Browning,Cassiope,2022,2022-07-29,2022-12-12,5.2641,3.9,NA,NA,G
179,BC6,BSC,Browning,Cassiope,2022,2022-07-30,2022-12-12,5.025,4.16,5.0843,3.1,G
189,BC7,BSC,Browning,Cassiope,2022,2022-07-30,2022-12-12,5.0153,4.11,5.0138,3.09,G
194,BC8,BSC,Browning,Cassiope,2022,2022-07-30,2022-12-05,5.0425,4.51,5.036,3.56,G
182,BC9,BSC,Browning,Cassiope,2022,2022-07-29,2022-12-12,5.037,4.27,5.0389,3.33,G
177,BE1,BSC,Browning,Empetrum,2022,2022-07-30,2022-12-12,5.1696,4.08,5.1095,3.06,G
195,BE2,BSC,Browning,Empetrum,2022,2022-07-30,2022-12-12,5.1591,4.23,NA,NA,G
197,HC1,BSC,Healthy,Cassiope,2022,2022-07-29,2022-12-05,2.5033,4.17,NA,NA,G
183,HC2,BSC,Healthy,Cassiope,2022,2022-07-29,2022-12-12,5.1206,4.09,NA,NA,G
180,HC3,BSC,Healthy,Cassiope,2022,2022-07-30,2022-12-12,5.0075,4.14,NA,NA,G
185,HC4,BSC,Healthy,Cassiope,2022,2022-07-29,2022-12-05,5.1797,4.03,NA,NA,G
181,HC5,BSC,Healthy,Cassiope,2022,2022-07-29,2022-12-12,3.6113,4.23,NA,NA,G
192,HC6,BSC,Healthy,Cassiope,2022,2022-07-30,2022-12-05,4.8748,3.95,NA,NA,G
199,HC7,BSC,Healthy,Cassiope,2022,2022-07-30,2022-12-05,4.0538,4.12,NA,NA,G
200,HC8,BSC,Healthy,Cassiope,2022,2022-07-30,2022-12-05,5.0514,4.23,NA,NA,G
178,HC9,BSC,Healthy,Cassiope,2022,2022-07-30,2022-12-05,5.106,4.79,5.0292,3.94,G
198,HE1,BSC,Healthy,Empetrum,2022,2022-07-30,2022-12-12,5.0348,4.13,4.8395,3.24,G
193,HE2,BSC,Healthy,Empetrum,2022,2022-07-31,2022-12-12,3.5909,4.15,NA,NA,G
