,Plot_no,Date,Year,Month,Treatment,Vegetation,Status,Replicate,NEE,ER,GPP,CH4,Pressure_mbar,PAR_in,PAR_out,Air_temp,Windspeed_ms,temp_avg,sm_avg,V,SWC
20,HC4,2021-08-03,2021,8,HC,Cassiope,Healthy,2,-0.076,0.035,-0.111,-0.005,896.85,334.4903333,472.3103333,10.64650333,2.513333333,8,921.75,0.92175,0.477207893
21,HC4,2021-08-03,2021,8,HC,Cassiope,Healthy,3,-0.147,0.04,-0.187,-0.014,896.85,334.4903333,472.3103333,10.64650333,2.513333333,8,921.75,0.92175,0.477207893
22,BC4,2021-08-03,2021,8,BC,Cassiope,Browning,1,0.046,0.023,0.023,-0.034,896.85,503.0913333,608.36,14.47416667,0.5,8.65,601.5,0.6015,0.246320319
23,BC4,2021-08-03,2021,8,BC,Cassiope,Browning,2,0.028,0.034,-0.006,-0.02,896.85,503.0913333,608.36,14.47416667,0.5,8.65,601.5,0.6015,0.246320319
24,BC4,2021-08-03,2021,8,BC,Cassiope,Browning,3,0.065,0.032,0.033,-0.081,896.85,503.0913333,608.36,14.47416667,0.5,8.65,601.5,0.6015,0.246320319
25,BC5,2021-08-05,2021,8,BC,Cassiope,Browning,1,0.107,0.145,-0.038,-0.12,901.0166667,327.9521441,901.748,17.50511667,0.836666667,7.925,765.25,0.76525,0.347591313
26,BC5,2021-08-05,2021,8,BC,Cassiope,Browning,2,0.121,0.111,0.01,-0.142,901.0166667,327.9521441,901.748,17.50511667,0.836666667,7.925,765.25,0.76525,0.347591313
27,BC5,2021-08-05,2021,8,BC,Cassiope,Browning,3,0.111,0.14,-0.029,-0.131,901.0166667,327.9521441,901.748,17.50511667,0.836666667,7.925,765.25,0.76525,0.347591313
28,HC5,2021-08-05,2021,8,HC,Cassiope,Healthy,1,-0.311,0.33,-0.641,-0.031,901.05,322.7498498,835.5406,15.52872,1.51,7.95,689.25,0.68925,0.298651221
29,HC5,2021-08-05,2021,8,HC,Cassiope,Healthy,2,-0.451,0.245,-0.696,-0.052,901.05,322.7498498,835.5406,15.52872,1.51,7.95,689.25,0.68925,0.298651221
30,HC5,2021-08-05,2021,8,HC,Cassiope,Healthy,3,-0.319,0.041,-0.36,-0.07,901.05,322.7498498,835.5406,15.52872,1.51,7.95,689.25,0.68925,0.298651221
31,BC6,2021-08-05,2021,8,BC,Cassiope,Browning,1,0.092,0.095,-0.003,-0.237,901.25,244.6629306,590.318,14.70154,2.416,9.275,563.75,0.56375,0.225463269
32,BC6,2021-08-05,2021,8,BC,Cassiope,Browning,2,0.065,0.142,-0.077,-0.118,901.25,244.6629306,590.318,14.70154,2.416,9.275,563.75,0.56375,0.225463269
33,BC6,2021-08-05,2021,8,BC,Cassiope,Browning,3,0.062,0.127,-0.065,-0.21,901.25,244.6629306,590.318,14.70154,2.416,9.275,563.75,0.56375,0.225463269
34,HC6,2021-08-05,2021,8,HC,Cassiope,Healthy,1,-0.472,0.283,-0.755,-0.059,901.6,239.0835378,604.2856667,15.51426667,3.103333333,7.95,697.75,0.69775,0.303956185
35,HC6,2021-08-05,2021,8,HC,Cassiope,Healthy,2,-0.37,0.373,-0.743,-0.066,901.6,239.0835378,604.2856667,15.51426667,3.103333333,7.95,697.75,0.69775,0.303956185
36,HC6,2021-08-05,2021,8,HC,Cassiope,Healthy,3,-0.38,0.215,-0.595,-0.094,901.6,239.0835378,604.2856667,15.51426667,3.103333333,7.95,697.75,0.69775,0.303956185
37,HC7,2021-08-05,2021,8,HC,Cassiope,Healthy,1,-0.26,NA,NA,-0.028,901.85,206.2688966,473.5886,12.1327,3.52,8.05,764,0.764,0.346754037
38,HC7,2021-08-05,2021,8,HC,Cassiope,Healthy,2,-0.082,0.088,-0.17,-0.033,901.85,206.2688966,473.5886,12.1327,3.52,8.05,764,0.764,0.346754037
39,HC7,2021-08-05,2021,8,HC,Cassiope,Healthy,3,-0.137,0.142,-0.279,-0.046,901.85,206.2688966,473.5886,12.1327,3.52,8.05,764,0.764,0.346754037
40,BC7,2021-08-05,2021,8,BC,Cassiope,Browning,1,0.084,0.138,-0.054,-0.209,902.05,182.0059378,464.3861667,10.82513333,1.506666667,8.4,760.25,0.76025,0.344250304
41,BC7,2021-08-05,2021,8,BC,Cassiope,Browning,2,0.07,0.156,-0.086,-0.21,902.05,182.0059378,464.3861667,10.82513333,1.506666667,8.4,760.25,0.76025,0.344250304
42,BC7,2021-08-05,2021,8,BC,Cassiope,Browning,3,0.092,0.159,-0.067,-0.237,902.05,182.0059378,464.3861667,10.82513333,1.506666667,8.4,760.25,0.76025,0.344250304
43,HE1,2021-08-06,2021,8,HE,Empetrum,Healthy,1,-0.059,0.045,-0.104,-0.006,904.05,703.9328982,1118.623,19.5494,0.5,8.525,645,0.645,0.271670894
44,HE1,2021-08-06,2021,8,HE,Empetrum,Healthy,2,-0.128,0.097,-0.225,-0.013,904.05,703.9328982,1118.623,19.5494,0.5,8.525,645,0.645,0.271670894
45,HE1,2021-08-06,2021,8,HE,Empetrum,Healthy,3,-0.253,0.137,-0.39,-0.021,904.05,703.9328982,1118.623,19.5494,0.5,8.525,645,0.645,0.271670894
46,BE1,2021-08-06,2021,8,BE,Empetrum,Browning,1,0.053,0.121,-0.068,-0.024,904.05,434.5335333,1229.804833,20.22453333,1.341666667,8.7,579,0.579,0.233748846
47,BE1,2021-08-06,2021,8,BE,Empetrum,Browning,2,-0.045,0.206,-0.251,-0.035,904.05,434.5335333,1229.804833,20.22453333,1.341666667,8.7,579,0.579,0.233748846
48,BE1,2021-08-06,2021,8,BE,Empetrum,Browning,3,0.04,0.192,-0.152,-0.042,904.05,434.5335333,1229.804833,20.22453333,1.341666667,8.7,579,0.579,0.233748846
49,HE2,2021-08-06,2021,8,HE,Empetrum,Healthy,1,-0.053,0.172,-0.225,-0.006,904.09,280.0383012,595.7954,16.164,1.51,9.15,920.75,0.92075,0.47608232
50,HE2,2021-08-06,2021,8,HE,Empetrum,Healthy,2,-0.086,0.091,-0.177,-0.014,904.09,280.0383012,595.7954,16.164,1.51,9.15,920.75,0.92075,0.47608232
51,HE2,2021-08-06,2021,8,HE,Empetrum,Healthy,3,-0.035,0.1,-0.135,-0.014,904.09,280.0383012,595.7954,16.164,1.51,9.15,920.75,0.92075,0.47608232
52,BE2,2021-08-06,2021,8,BE,Empetrum,Browning,1,0.046,0.112,-0.066,-0.01,904.25,227.199271,455.8754,17.43514,3.02,9,625.25,0.62525,0.260002494
53,BE2,2021-08-06,2021,8,BE,Empetrum,Browning,2,0.029,0.152,-0.123,-0.009,904.25,227.199271,455.8754,17.43514,3.02,9,625.25,0.62525,0.260002494
54,BE2,2021-08-06,2021,8,BE,Empetrum,Browning,3,0.101,0.151,-0.05,-0.014,904.25,227.199271,455.8754,17.43514,3.02,9,625.25,0.62525,0.260002494
55,BE3,2021-08-06,2021,8,BE,Empetrum,Browning,1,0.074,0.119,-0.045,-0.026,904.45,375.783037,748.5704,14.3672,2.012,8.875,791.25,0.79125,0.365356799
56,BE3,2021-08-06,2021,8,BE,Empetrum,Browning,2,0.123,0.231,-0.108,-0.06,904.45,375.783037,748.5704,14.3672,2.012,8.875,791.25,0.79125,0.365356799
57,BE3,2021-08-06,2021,8,BE,Empetrum,Browning,3,0.17,0.156,0.014,-0.046,904.45,375.783037,748.5704,14.3672,2.012,8.875,791.25,0.79125,0.365356799
58,HE3,2021-08-06,2021,8,HE,Empetrum,Healthy,1,-0.131,0.273,-0.404,-0.034,904,352.1940447,774.406,19.24671667,0.5,8.95,626.5,0.6265,0.260733499
59,HE3,2021-08-06,2021,8,HE,Empetrum,Healthy,2,-0.157,0.288,-0.445,-0.056,904,352.1940447,774.406,19.24671667,0.5,8.95,626.5,0.6265,0.260733499
60,HE3,2021-08-06,2021,8,HE,Empetrum,Healthy,3,-0.24,0.402,-0.642,-0.028,904,352.1940447,774.406,19.24671667,0.5,8.95,626.5,0.6265,0.260733499
61,BE4,2021-08-06,2021,8,BE,Empetrum,Browning,1,0.074,0.185,-0.111,-0.009,903.55,244.7144883,471.3254,16.413,0.904,9.2,672.75,0.67275,0.288463602
62,BE4,2021-08-06,2021,8,BE,Empetrum,Browning,2,0.067,0.231,-0.164,-0.021,903.55,244.7144883,471.3254,16.413,0.904,9.2,672.75,0.67275,0.288463602
63,BE4,2021-08-06,2021,8,BE,Empetrum,Browning,3,-0.052,0.224,-0.276,-0.005,903.55,244.7144883,471.3254,16.413,0.904,9.2,672.75,0.67275,0.288463602
64,HE4,2021-08-06,2021,8,HE,Empetrum,Healthy,1,-0.321,0.2,-0.521,-0.02,903.65,509.7915517,926.5458,18.68986,1.51,8.925,718.5,0.7185,0.317070364
65,HE4,2021-08-06,2021,8,HE,Empetrum,Healthy,2,-0.181,0.116,-0.297,-0.009,903.65,509.7915517,926.5458,18.68986,1.51,8.925,718.5,0.7185,0.317070364
66,HE4,2021-08-06,2021,8,HE,Empetrum,Healthy,3,-0.187,0.242,-0.429,-0.023,903.65,509.7915517,926.5458,18.68986,1.51,8.925,718.5,0.7185,0.317070364
67,BE5,2021-08-07,2021,8,BE,Empetrum,Browning,1,-0.159,0.537,-0.696,-0.017,907.4166667,535.9153535,1058.046667,21.00793333,2.516666667,8.75,883.5,0.8835,0.43818365
68,BE5,2021-08-07,2021,8,BE,Empetrum,Browning,2,-0.079,0.426,-0.505,-0.04,907.4166667,535.9153535,1058.046667,21.00793333,2.516666667,8.75,883.5,0.8835,0.43818365
69,BE5,2021-08-07,2021,8,BE,Empetrum,Browning,3,0.07,0.523,-0.453,-0.035,907.4166667,535.9153535,1058.046667,21.00793333,2.516666667,8.75,883.5,0.8835,0.43818365
70,HE5,2021-08-07,2021,8,HE,Empetrum,Healthy,1,-0.186,0.517,-0.703,-0.006,907.45,523.1663107,1145.923333,21.0313,3.103333333,8.8,794.25,0.79425,0.367455825
71,HE5,2021-08-07,2021,8,HE,Empetrum,Healthy,2,-0.093,0.402,-0.495,-0.007,907.45,523.1663107,1145.923333,21.0313,3.103333333,8.8,794.25,0.79425,0.367455825
72,HE5,2021-08-07,2021,8,HE,Empetrum,Healthy,3,-0.315,0.173,-0.488,-0.007,907.45,523.1663107,1145.923333,21.0313,3.103333333,8.8,794.25,0.79425,0.367455825
73,BE6,2021-08-07,2021,8,BE,Empetrum,Browning,1,-0.026,0.233,-0.259,-0.013,907.45,400.895112,995.6373333,19.72968333,3.52,9.1,777.5,0.7775,0.355873392
74,BE6,2021-08-07,2021,8,BE,Empetrum,Browning,2,0.031,0.382,-0.351,-0.032,907.45,400.895112,995.6373333,19.72968333,3.52,9.1,777.5,0.7775,0.355873392
75,BE6,2021-08-07,2021,8,BE,Empetrum,Browning,3,-0.066,0.225,-0.291,-0.011,907.45,400.895112,995.6373333,19.72968333,3.52,9.1,777.5,0.7775,0.355873392
76,HE6,2021-08-07,2021,8,HE,Empetrum,Healthy,1,-0.189,0.165,-0.354,-0.022,907.45,360.878573,869.481,18.86073333,1.506666667,8.525,698.75,0.69875,0.304582832
77,HE6,2021-08-07,2021,8,HE,Empetrum,Healthy,2,-0.11,0.247,-0.357,-0.006,907.45,360.878573,869.481,18.86073333,1.506666667,8.525,698.75,0.69875,0.304582832
78,HE6,2021-08-07,2021,8,HE,Empetrum,Healthy,3,-0.244,0.505,-0.749,-0.011,907.45,360.878573,869.481,18.86073333,1.506666667,8.525,698.75,0.69875,0.304582832
79,HE7,2021-08-07,2021,8,HE,Empetrum,Healthy,1,-0.188,0.64,-0.828,-0.019,907.45,438.9789876,1046.463333,21.30705,0.5,9.05,700,0.7,0.305366893
80,HE7,2021-08-07,2021,8,HE,Empetrum,Healthy,2,-0.222,0.56,-0.782,-0.034,907.45,438.9789876,1046.463333,21.30705,0.5,9.05,700,0.7,0.305366893
81,HE7,2021-08-07,2021,8,HE,Empetrum,Healthy,3,-0.092,0.405,-0.497,-0.028,907.45,438.9789876,1046.463333,21.30705,0.5,9.05,700,0.7,0.305366893
82,BE7,2021-08-07,2021,8,BE,Empetrum,Browning,1,0.144,0.504,-0.36,-0.038,907.45,317.8530623,834.628,20.71783333,1.341666667,9.325,734.5,0.7345,0.32735018
83,BE7,2021-08-07,2021,8,BE,Empetrum,Browning,2,0.138,0.273,-0.135,-0.02,907.45,317.8530623,834.628,20.71783333,1.341666667,9.325,734.5,0.7345,0.32735018
84,BE7,2021-08-07,2021,8,BE,Empetrum,Browning,3,-0.098,0.322,-0.42,-0.012,907.45,317.8530623,834.628,20.71783333,1.341666667,9.325,734.5,0.7345,0.32735018
85,BC1,2022-07-29,2022,7,BC,Cassiope,Browning,1,0.061,0.082,-0.021,-0.066,908.45,650.3528,1385.8,8.915,2.351666667,8.3,690.75,0.69075,0.299584595
86,BC1,2022-07-29,2022,7,BC,Cassiope,Browning,2,0.085,0.13,-0.045,-0.059,908.45,650.3528,1385.8,8.915,2.351666667,8.3,690.75,0.69075,0.299584595
87,BC1,2022-07-29,2022,7,BC,Cassiope,Browning,3,0.115,0.112,0.003,-0.078,908.45,650.3528,1385.8,8.915,2.351666667,8.3,690.75,0.69075,0.299584595
88,HC1,2022-07-29,2022,7,HC,Cassiope,Healthy,1,-0.067,0.159,-0.226,-0.069,908.45,432.86,1508.743333,9.114,2.52,8.025,671.5,0.6715,0.287697812
89,HC1,2022-07-29,2022,7,HC,Cassiope,Healthy,2,-0.038,0.143,-0.181,-0.026,908.45,432.86,1508.743333,9.114,2.52,8.025,671.5,0.6715,0.287697812
90,HC1,2022-07-29,2022,7,HC,Cassiope,Healthy,3,-0.048,0.171,-0.219,-0.037,908.45,432.86,1508.743333,9.114,2.52,8.025,671.5,0.6715,0.287697812
91,BC2,2022-07-29,2022,7,BC,Cassiope,Browning,1,0.135,0.148,-0.013,-0.068,909.15,587.23,1578.608333,9.485,2.01,8.875,655.75,0.65575,0.278123498
92,BC2,2022-07-29,2022,7,BC,Cassiope,Browning,2,0.131,0.215,-0.084,-0.063,909.15,587.23,1578.608333,9.485,2.01,8.875,655.75,0.65575,0.278123498
93,BC2,2022-07-29,2022,7,BC,Cassiope,Browning,3,0.155,0.168,-0.013,-0.065,909.15,587.23,1578.608333,9.485,2.01,8.875,655.75,0.65575,0.278123498
94,HC2,2022-07-29,2022,7,HC,Cassiope,Healthy,1,-0.181,0.048,-0.229,-0.002,909.23,850.04,1579.504,9.9128,1.71,8.3,617.75,0.61775,0.255638729
95,HC2,2022-07-29,2022,7,HC,Cassiope,Healthy,2,-0.185,0.09,-0.275,-0.005,909.23,850.04,1579.504,9.9128,1.71,8.3,617.75,0.61775,0.255638729
96,HC2,2022-07-29,2022,7,HC,Cassiope,Healthy,3,-0.227,0.075,-0.302,0.005,909.23,850.04,1579.504,9.9128,1.71,8.3,617.75,0.61775,0.255638729
97,HC3,2022-07-29,2022,7,HC,Cassiope,Healthy,1,-0.077,0.187,-0.264,-0.02,909.35,754.1004712,1587.11,10.198,1.51,8.1,810.5,0.8105,0.379042298
98,HC3,2022-07-29,2022,7,HC,Cassiope,Healthy,2,-0.087,0.267,-0.354,-0.015,909.35,754.1004712,1587.11,10.198,1.51,8.1,810.5,0.8105,0.379042298
99,HC3,2022-07-29,2022,7,HC,Cassiope,Healthy,3,-0.095,0.279,-0.374,-0.012,909.35,754.1004712,1587.11,10.198,1.51,8.1,810.5,0.8105,0.379042298
100,BC3,2022-07-29,2022,7,BC,Cassiope,Browning,1,0.071,0.108,-0.037,-0.072,909.35,431.8767596,1455.553333,11.613,1.51,8.325,736.75,0.73675,0.328808433
101,BC3,2022-07-29,2022,7,BC,Cassiope,Browning,2,0.103,0.07,0.033,-0.108,909.35,431.8767596,1455.553333,11.613,1.51,8.325,736.75,0.73675,0.328808433
102,BC3,2022-07-29,2022,7,BC,Cassiope,Browning,3,0.084,0.106,-0.022,-0.098,909.35,431.8767596,1455.553333,11.613,1.51,8.325,736.75,0.73675,0.328808433
103,BC4,2022-07-29,2022,7,BC,Cassiope,Browning,1,0.056,0.084,-0.028,-0.01,909.25,527.2031921,1628.945,11.8675,1.51,9.275,913.5,0.9135,0.468110067
104,BC4,2022-07-29,2022,7,BC,Cassiope,Browning,2,0.078,0.091,-0.013,-0.012,909.25,527.2031921,1628.945,11.8675,1.51,9.275,913.5,0.9135,0.468110067
105,BC4,2022-07-29,2022,7,BC,Cassiope,Browning,3,0.075,0.108,-0.033,-0.015,909.25,527.2031921,1628.945,11.8675,1.51,9.275,913.5,0.9135,0.468110067
106,HC4,2022-07-29,2022,7,HC,Cassiope,Healthy,1,-0.083,0.132,-0.215,0.004,909.15,573.7952862,1556.104,12.122,1.51,8.3,1001,1.001,0.593908997
107,HC4,2022-07-29,2022,7,HC,Cassiope,Healthy,2,-0.074,0.13,-0.204,0.001,909.15,573.7952862,1556.104,12.122,1.51,8.3,1001,1.001,0.593908997
108,HC4,2022-07-29,2022,7,HC,Cassiope,Healthy,3,-0.094,0.114,-0.208,0.004,909.15,573.7952862,1556.104,12.122,1.51,8.3,1001,1.001,0.593908997
109,BC5,2022-07-29,2022,7,BC,Cassiope,Browning,1,0.061,0.082,-0.021,-0.002,908.95,428.4330781,1240.255,12.219,2.01,8.575,740,0.74,0.33092063
110,BC5,2022-07-29,2022,7,BC,Cassiope,Browning,2,0.051,0.117,-0.066,-0.007,908.95,428.4330781,1240.255,12.219,2.01,8.575,740,0.74,0.33092063
111,BC5,2022-07-29,2022,7,BC,Cassiope,Browning,3,0.124,0.153,-0.029,-0.019,908.95,428.4330781,1240.255,12.219,2.01,8.575,740,0.74,0.33092063
112,HC5,2022-07-29,2022,7,HC,Cassiope,Healthy,1,-0.034,0.035,-0.069,0.001,908.95,524.172434,1176.6175,12.219,2.01,8.05,1029.5,1.0295,0.654733329
113,HC5,2022-07-29,2022,7,HC,Cassiope,Healthy,2,-0.053,0.026,-0.079,0.001,908.95,524.172434,1176.6175,12.219,2.01,8.05,1029.5,1.0295,0.654733329
114,HC5,2022-07-29,2022,7,HC,Cassiope,Healthy,3,-0.033,0.031,-0.064,0.001,908.95,524.172434,1176.6175,12.219,2.01,8.05,1029.5,1.0295,0.654733329
115,BC6,2022-07-30,2022,7,BC,Cassiope,Browning,1,0.057,0.044,0.013,-0.038,902.95,507.754,1395.138,11.053,1.51,7.85,762.5,0.7625,0.345751103
116,BC6,2022-07-30,2022,7,BC,Cassiope,Browning,2,0.059,0.063,-0.004,-0.03,902.95,507.754,1395.138,11.053,1.51,7.85,762.5,0.7625,0.345751103
117,BC6,2022-07-30,2022,7,BC,Cassiope,Browning,3,0.082,0.061,0.021,-0.079,902.95,507.754,1395.138,11.053,1.51,7.85,762.5,0.7625,0.345751103
118,HC6,2022-07-30,2022,7,HC,Cassiope,Healthy,1,-0.044,0.07,-0.114,0.001,902.95,569.2466667,1408.631667,11.2725,2.015,8.4,613.5,0.6135,0.253183238
119,HC6,2022-07-30,2022,7,HC,Cassiope,Healthy,2,-0.034,0.087,-0.121,0.009,902.95,569.2466667,1408.631667,11.2725,2.015,8.4,613.5,0.6135,0.253183238
120,HC6,2022-07-30,2022,7,HC,Cassiope,Healthy,3,-0.051,0.088,-0.139,-0.007,902.95,569.2466667,1408.631667,11.2725,2.015,8.4,613.5,0.6135,0.253183238
121,HC7,2022-07-30,2022,7,HC,Cassiope,Healthy,1,-0.037,0.199,-0.236,-0.011,905.85,387.4148333,1473.535,11.70183333,2.435,8.225,758.25,0.75825,0.342919804
122,HC7,2022-07-30,2022,7,HC,Cassiope,Healthy,2,-0.086,0.227,-0.313,-0.028,905.85,387.4148333,1473.535,11.70183333,2.435,8.225,758.25,0.75825,0.342919804
123,HC7,2022-07-30,2022,7,HC,Cassiope,Healthy,3,-0.066,0.268,-0.334,-0.049,905.85,387.4148333,1473.535,11.70183333,2.435,8.225,758.25,0.75825,0.342919804
124,BC7,2022-07-30,2022,7,BC,Cassiope,Browning,1,0.066,0.049,0.017,-0.041,906.05,576.1867744,1486.143333,12.751,2.01,8.85,652.5,0.6525,0.276165487
125,BC7,2022-07-30,2022,7,BC,Cassiope,Browning,2,0.069,0.07,-0.001,-0.033,906.05,576.1867744,1486.143333,12.751,2.01,8.85,652.5,0.6525,0.276165487
126,BC7,2022-07-30,2022,7,BC,Cassiope,Browning,3,0.067,0.072,-0.005,-0.036,906.05,576.1867744,1486.143333,12.751,2.01,8.85,652.5,0.6525,0.276165487
127,HE1,2022-07-30,2022,7,HE,Empetrum,Healthy,1,-0.052,0.069,-0.121,0.002,907.21,564.314,1252.976,13.8532,3.02,8.975,998,0.998,0.58822374
128,HE1,2022-07-30,2022,7,HE,Empetrum,Healthy,2,-0.037,0.123,-0.16,-0.004,907.21,564.314,1252.976,13.8532,3.02,8.975,998,0.998,0.58822374
129,HE1,2022-07-30,2022,7,HE,Empetrum,Healthy,3,-0.048,0.148,-0.196,-0.004,907.21,564.314,1252.976,13.8532,3.02,8.975,998,0.998,0.58822374
130,BE1,2022-07-30,2022,7,BE,Empetrum,Browning,1,0.046,0.08,-0.034,-0.008,907.1166667,433.3694114,1155.946667,13.898,2.853333333,9.425,740.25,0.74025,0.331083397
131,BE1,2022-07-30,2022,7,BE,Empetrum,Browning,2,0.064,0.067,-0.003,-0.012,907.1166667,433.3694114,1155.946667,13.898,2.853333333,9.425,740.25,0.74025,0.331083397
132,BE1,2022-07-30,2022,7,BE,Empetrum,Browning,3,0.057,0.072,-0.015,-0.007,907.1166667,433.3694114,1155.946667,13.898,2.853333333,9.425,740.25,0.74025,0.331083397
133,BE2,2022-07-31,2022,7,BE,Empetrum,Browning,1,0.018,0.074,-0.056,-0.041,899.41,800.096,1298.732,14.1412,0.3,10.05,752.75,0.75275,0.339277488
134,BE2,2022-07-31,2022,7,BE,Empetrum,Browning,2,0.026,0.092,-0.066,-0.026,899.41,800.096,1298.732,14.1412,0.3,10.05,752.75,0.75275,0.339277488
135,BE2,2022-07-31,2022,7,BE,Empetrum,Browning,3,0.017,0.076,-0.059,-0.021,899.41,800.096,1298.732,14.1412,0.3,10.05,752.75,0.75275,0.339277488
136,BE3,2022-07-31,2022,7,BE,Empetrum,Browning,1,0.082,0.138,-0.056,-0.015,899.35,724.715,1677.475,14.17,0.5,NA,NA,NA,NA
